as_of,fund_code,fund_name,status,is_qdii,observations,latest_date,latest_nav,stale_calendar_days,ma20,nav_vs_ma20,ma60,nav_vs_ma60,rsi14,return_20obs,return_60obs,drawdown_60obs,max_drawdown_full_history,relative_20obs_vs_007339,relative_60obs_vs_007339,technical_state,source,fetched_at
2026-07-14,007339,易方达沪深300ETF联接C,provisional_missing_shares_and_dates,false,1752,2026-07-13,1.8823,1,1.9480,-0.03372690,1.9290,-0.02421618,42.23,-0.01077360,0.00960094,0.06371866,0.39792116,0.00000000,0.00000000,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007339.js?v=1784032221672,2026-07-14T12:30:21.661Z
2026-07-14,021894,易方达半导体材料设备ETF联接C,provisional_missing_shares_and_dates,false,392,2026-07-14,2.9478,0,2.9383,0.00322804,2.3056,0.27854753,58.85,0.23019781,0.88321727,0.14697209,0.18405335,0.26293163,0.87052023,多头排列,https://fund.eastmoney.com/pingzhongdata/021894.js?v=1784032222646,2026-07-14T12:30:21.661Z
2026-07-14,010004,景顺长城电子信息产业股票C,provisional_missing_shares_and_dates,false,1402,2026-07-13,2.1446,1,2.2627,-0.05217543,2.0550,0.04359589,47.57,0.09329119,0.24787618,0.12264768,0.45982635,0.10406479,0.23827523,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/010004.js?v=1784032223257,2026-07-14T12:30:21.661Z
2026-07-14,012922,易方达全球成长精选混合(QDII)C,provisional_missing_shares_and_dates,true,1051,2026-07-13,4.1844,1,4.7604,-0.12099639,4.2075,-0.00549374,42.24,-0.06395544,0.29076439,0.20655327,0.20655327,-0.05318184,0.28116345,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/012922.js?v=1784032223996,2026-07-14T12:30:21.661Z
2026-07-14,021528,财通成长优选混合C,provisional_missing_shares_and_dates,false,518,2026-07-14,4.9840,0,5.3593,-0.07001913,4.3523,0.14514603,52.32,-0.05120883,0.67867969,0.23721087,0.39054545,-0.01847502,0.66598264,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/021528.js?v=1784032224761,2026-07-14T12:30:21.661Z
2026-07-14,007818,国泰中证全指通信设备ETF联接C,provisional_missing_shares_and_dates,false,1662,2026-07-13,4.0644,1,4.5786,-0.11230022,4.2264,-0.03832101,41.34,-0.05698376,0.19208095,0.20067653,0.44363249,-0.04621016,0.18248001,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/007818.js?v=1784032225404,2026-07-14T12:30:21.661Z
2026-07-14,019024,易方达信息行业精选股票C,provisional_missing_shares_and_dates,false,645,2026-07-14,3.0213,0,3.2215,-0.06214496,2.7755,0.08856846,50.37,-0.00729423,0.46416283,0.16944731,0.22388060,0.02543958,0.45146578,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/019024.js?v=1784032226140,2026-07-14T12:30:21.661Z
2026-07-14,024481,财通品质甄选混合C,provisional_missing_shares_and_dates,false,167,2026-07-14,2.2316,0,2.4115,-0.07461430,1.9541,0.14199547,52.03,-0.05624630,0.67524961,0.24071439,0.24071439,-0.02351249,0.66255256,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/024481.js?v=1784032226797,2026-07-14T12:30:21.661Z
2026-07-14,017731,嘉实全球产业升级股票(QDII)C,provisional_missing_shares_and_dates,true,788,2026-07-13,4.3752,1,4.6092,-0.05076391,4.0778,0.07293499,49.00,0.04482388,0.40114008,0.13187031,0.28054698,0.05559748,0.39153913,跌破20日线，结构未完全转弱,https://fund.eastmoney.com/pingzhongdata/017731.js?v=1784032227388,2026-07-14T12:30:21.661Z
2026-07-14,014565,天弘沪深港创新药50ETF联接C,sold_user_reported_pending_confirmation,false,1005,2026-07-14,1.2159,0,1.1193,0.08629423,1.1085,0.09686955,66.91,0.19276045,-0.00596795,0.19850004,0.45538615,0.22549426,-0.01866500,多头排列,https://fund.eastmoney.com/pingzhongdata/014565.js?v=1784032228079,2026-07-14T12:30:21.661Z
